type,name,notice,furigana
もやせない・危険,カセットコンロのボンベ,完全に使い切って風通しの良い場所で安全に穴を開けてから出してください。フタはもやせるごみ又はもやせないごみへ,か
もやせない・危険,かさ,おおむね長さ30cm以内のもの,か
もやせない・危険,ガラス類,おおむね長さ30cm以内のもの,か
もやせない・危険,カミソリ(危険ごみ),,か
もやせない・危険,カッター(危険ごみ),,か
もやせない・危険,乾電池(危険ごみ),,か
もやせない・危険,金属類,おおむね長さ30cm以内のもの,き
もやせない・危険,化粧びん,おおむね長さ30cm以内のもの,け
もやせない・危険,蛍光灯(危険ごみ),,け
もやせない・危険,小型の電化製品,おおむね長さ30cm以内のもの,こ
もやせない・危険,小型の包丁(危険ごみ),,こ
もやせない・危険,殺虫剤,完全に使い切って風通しの良い場所で安全に穴を開けてから出してください,さ
もやせない・危険,皿,おおむね長さ30cm以内のもの,さ
もやせない・危険,スプレー缶,完全に使い切って風通しの良い場所で安全に穴を開けてから出してください,す
もやせない・危険,耐熱ガラス,おおむね長さ30cm以内のもの,た
もやせない・危険,茶碗,おおむね長さ30cm以内のもの,ち
もやせない・危険,陶器,おおむね長さ30cm以内のもの,と
もやせない・危険,なべ,おおむね長さ30cm以内のもの,な
もやせない・危険,のこぎり(危険ごみ),,の
もやせない・危険,ハンガー,おおむね長さ30cm以内のもの,は
もやせない・危険,ヘアスプレー,完全に使い切って風通しの良い場所で安全に穴を開けてから出してください,へ
もやせない・危険,やかん,おおむね長さ30cm以内のもの,や
もやせない・危険,ライター(危険ごみ),,ら
もやせない・危険,割れたガラス(危険ごみ),,わ
もやせない・危険,割れたびん(危険ごみ),,わ
もやせる,衣類,,い
もやせる,カセット,,か
もやせる,紙くず等,,か
もやせる,感熱紙,,か
もやせる,カーボン用紙,,か
もやせる,紙おむつ,ウンチ等はトイレに流す。,か
もやせる,革製品,,か
もやせる,草,およそ長さ50cm以内、直径3cm以内、重量5kg以下で束ねて、指定の袋に入れて出してください。,く
もやせる,細かい枝,およそ長さ50cm以内、直径3cm以内、重量5kg以下で束ねて、指定の袋に入れて出してください。,こ
もやせる,ゴム,,こ
もやせる,食用油,牛乳パックなどに新聞紙・布等を詰め染み込ませて出すか、市販の油を固める商品の使用も可能です。,し
もやせる,CD,,し
もやせる,ティッシュペーパー,,て
もやせる,生ごみ,水切りをしてから出してください。,な
もやせる,葉,およそ長さ50cm以内、直径3cm以内、重量5kg以下で束ねて、指定の袋に入れて出してください。,は
もやせる,ビデオテープ,,ひ
もやせる,ビニール,,ひ
もやせる,プラスチック類,,ふ
もやせる,ファクス用紙,,ふ
もやせる,ポリ袋,,ほ
資源(缶、びん),アルミ缶,中身は取り除き、軽く水洗いをして出してください。,あ
資源(缶、びん),泡盛,,あ
資源(缶、びん),ウィスキー,,う
資源(缶、びん),菓子缶,中身は取り除き、軽く水洗いをして出してください。,か
資源(缶、びん),缶詰の缶,中身は取り除き、軽く水洗いをして出してください。,か
資源(缶、びん),ジュース,,し
資源(缶、びん),スチール缶,中身は取り除き、軽く水洗いをして出してください。,す
資源(缶、びん),ドリンク剤,,と
資源(缶、びん),ビール,,ひ
資源(缶、びん),ワイン,,わ
資源(紙、ペットボトル),飲料用,フタをはずして、軽く水洗いして出してください。ラベルははがして、もやせるへ。,い
資源(紙、ペットボトル),菓子箱,紙ひもで十字にしばる,か
資源(紙、ペットボトル),牛乳パック,紙ひもで十字にしばる,き
資源(紙、ペットボトル),食品トレイ,軽く水洗いし、乾かして出して下さい。,し
資源(紙、ペットボトル),新聞紙,紙ひもで十字にしばる,し
資源(紙、ペットボトル),ダンボール,紙ひもで十字にしばる,た
資源(紙、ペットボトル),調味料用,フタをはずして、軽く水洗いして出してください。ラベルははがして、もやせるへ。,ち
資源(紙、ペットボトル),チラシ,紙ひもで十字にしばる,ち
資源(紙、ペットボトル),図書,紙ひもで十字にしばる,と
資源(紙、ペットボトル),文庫本,紙ひもで十字にしばる,ふ
資源(紙、ペットボトル),漫画本,紙ひもで十字にしばる,ま
